# Site Audit Report — www.shreegauli.com
# Crawled: 2026-04-15T18:48:16.521Z
# Pages Scanned: 42
# Health Score: 80/100
# Errors: 1 | Warnings: 93 | Notices: 41

## Issues Summary
Severity,Category,Issue,Affected Pages
WARNING,content,Title too long,21
WARNING,content,Duplicate title tag,2
WARNING,content,Duplicate meta description,2
ERROR,content,Missing H1 heading,1
WARNING,content,Low word count,6
NOTICE,content,Low text to HTML ratio,40
WARNING,content,Duplicate content,2
WARNING,links,Pages with only one internal link,9
WARNING,links,Links with no anchor text,42
NOTICE,links,Canonical URL mismatch,1
WARNING,performance,Slow page load speed,3
WARNING,markup,Missing ALT attributes,6

## Pages Detail
URL,Status Code,Redirected To,Redirect Chain,Crawl Depth,Title,Title Length,Meta Description,Meta Description Length,H1,H1 Count,H2s,Canonical,Meta Robots,X-Robots-Tag,Viewport,Charset,Language,Doctype,Word Count,Text/HTML Ratio,Content Hash,Internal Links,External Links,Total Links,Total Images,Missing ALT,JS Files,CSS Files,Schema Types,Schema Errors,OG Title,OG Description,OG Image,Twitter Card,Twitter Title,Twitter Image,TTFB,HTML Size,Content Encoding,Cache-Control,HSTS,Semantic Score,JS Rendered,Fetch Error
https://www.shreegauli.com/,200,,,0,Full-Stack Web Developer & SEO Consultant | Dallas,50,"Dallas-based full-stack web developer building custom websites, web apps, and e-commerce stores with Next.js, WordPress, and Shopify. SEO/AEO/GEO optimization built into every project. 14+ sites shipped.",203,"I build websites that rank, convert, and scale.",1,Built for businesses that need a website that works — not just looks good | Design. Develop. Optimize. Automate. | Work that moved the numbers | 10 live websites I built | What real clients say | Verified Certifications | Run a free SEO audit before you book anything | Who's behind this | Ready to fix the bottleneck?,https://www.shreegauli.com,"index, follow",,Yes,utf-8,en,Yes,1907,4%,0468cdd9931bc98b44e99675835f54f3,42,12,54,15,0,14,2,"Person, WebSite, Organization, ProfessionalService, BreadcrumbList, FAQPage",None,Full-Stack Web Developer & SEO Consultant | Dallas,"Dallas-based full-stack web developer building custom websites, web apps, and e-commerce stores with Next.js, WordPress, and Shopify. SEO/AEO/GEO optimization built into every project. 14+ sites shipped.",https://www.shreegauli.com/og-image.jpg,summary_large_image,Full-Stack Web Developer & SEO Consultant | Dallas,https://www.shreegauli.com/og-image.jpg,141ms,320KB,br,"public, max-age=0, must-revalidate",max-age=63072000,6/7,No,
https://www.shreegauli.com/work,200,,,1,"Portfolio | Next.js, WordPress & Shopify Projects",49,"14+ live websites and web apps built with Next.js, WordPress, and Shopify — with SEO, automation, and measurable results for every project.",139,Work that moved the numbers,1,10 live websites I built | What real clients say | Ready to fix the bottleneck?,https://www.shreegauli.com/work,"index, follow",,Yes,utf-8,en,Yes,953,4%,c6626d2311e56e178325e4d6545bab18,33,11,44,3,0,14,2,"Person, WebSite, Organization, ProfessionalService, BreadcrumbList, CollectionPage",None,"Portfolio | Next.js, WordPress & Shopify Projects","14+ live websites and web apps built with Next.js, WordPress, and Shopify — with SEO, automation, and measurable results for every project.",https://www.shreegauli.com/og-image.jpg,summary_large_image,"Portfolio | Next.js, WordPress & Shopify Projects",https://www.shreegauli.com/og-image.jpg,271ms,155KB,br,"public, max-age=0, must-revalidate",max-age=63072000,6/7,No,
https://www.shreegauli.com/services,200,,,1,"Web Development & SEO Services | Next.js, WordPress, Shopify",60,"Custom websites, web apps, e-commerce stores, SEO, and automation from a full-stack developer who handles design, code, and optimization.",137,Design. Develop. Optimize. Automate.,1,Ready to fix the bottleneck?,https://www.shreegauli.com/services,"index, follow",,Yes,utf-8,en,Yes,448,3%,e1093e4365808b48d185ba691554eabb,35,1,36,0,0,14,2,"Person, WebSite, Organization, ProfessionalService, BreadcrumbList, CollectionPage",None,"Web Development & SEO Services | Next.js, WordPress, Shopify","Custom websites, web apps, e-commerce stores, SEO, and automation from a full-stack developer who handles design, code, and optimization.",https://www.shreegauli.com/og-image.jpg,summary_large_image,"Web Development & SEO Services | Next.js, WordPress, Shopify",https://www.shreegauli.com/og-image.jpg,168ms,96KB,br,"public, max-age=0, must-revalidate",max-age=63072000,5/7,No,
https://www.shreegauli.com/about,200,,,1,About Shree Gauli | Web Developer & SEO Consultant,50,"Full-stack developer building custom websites and web apps with Next.js, WordPress, and Shopify — plus SEO, AEO/GEO, and automation. 5 verified Acadium apprenticeships. Based in Dallas, working globally.",203,The short version,1,How I work | Experience | Education | Tools | Verified Certifications | Outside of work | Ready to fix the bottleneck?,https://www.shreegauli.com/about,"index, follow",,Yes,utf-8,en,Yes,935,4%,3c5618d87a377a29abca1e6f4fae50d6,30,2,32,11,0,14,2,"Person, WebSite, Organization, ProfessionalService, BreadcrumbList, EducationalOccupationalCredential, EducationalOccupationalCredential, EducationalOccupationalCredential, EducationalOccupationalCredential, EducationalOccupationalCredential",None,About Shree Gauli | Web Developer & SEO Consultant,"Full-stack developer building custom websites and web apps with Next.js, WordPress, and Shopify — plus SEO, AEO/GEO, and automation. 5 verified Acadium apprenticeships. Based in Dallas, working globally.",https://www.shreegauli.com/og-image.jpg,summary_large_image,About Shree Gauli | Web Developer & SEO Consultant,https://www.shreegauli.com/og-image.jpg,382ms,142KB,br,"public, max-age=0, must-revalidate",max-age=63072000,5/7,No,
https://www.shreegauli.com/blogs,200,,,1,"Digital Marketing Blog | SEO, Ads, Automation Insights",54,"Practical articles on SEO, paid media, marketing operations, and automation systems from a working consultant.",110,What I write about,1,Ready to fix the bottleneck?,https://www.shreegauli.com/blogs,"index, follow",,Yes,utf-8,en,Yes,759,3%,225cc1262338315ee15018f3a7e350f7,42,1,43,12,0,14,2,"Person, WebSite, Organization, ProfessionalService, BreadcrumbList, CollectionPage",None,"Digital Marketing Blog | SEO, Ads, Automation Insights","Practical articles on SEO, paid media, marketing operations, and automation systems from a working consultant.",https://www.shreegauli.com/og-image.jpg,summary_large_image,"Digital Marketing Blog | SEO, Ads, Automation Insights",https://www.shreegauli.com/og-image.jpg,436ms,140KB,br,"public, max-age=0, must-revalidate",max-age=63072000,6/7,No,
https://www.shreegauli.com/contact,200,,,1,Contact Shree Krishna Gauli | Full-Stack Web Developer & SEO Consultant,71,"Get in touch for web development, SEO, or automation projects. Next.js, WordPress, Shopify, and SEO/AEO/GEO. Typical response within one business day.",150,Let's build something that performs,1,,https://www.shreegauli.com/contact,"index, follow",,Yes,utf-8,en,Yes,222,2%,22c7fbae4c16594dba4e6985d04e1316,29,2,31,0,0,12,2,"Person, WebSite, Organization, ProfessionalService, BreadcrumbList",None,Contact Shree Krishna Gauli | Full-Stack Web Developer & SEO Consultant,"Get in touch for web development, SEO, or automation projects. Next.js, WordPress, Shopify, and SEO/AEO/GEO. Typical response within one business day.",https://www.shreegauli.com/og-image.jpg,summary_large_image,Contact Shree Krishna Gauli | Full-Stack Web Developer & SEO Consultant,https://www.shreegauli.com/og-image.jpg,293ms,55KB,br,"public, max-age=0, must-revalidate",max-age=63072000,5/7,No,
https://www.shreegauli.com/book,200,,,1,Book a Free Strategy Call | 30-Minute Consultation,50,"Schedule a free 30-minute strategy call with Shree. Available Monday, Thursday, Friday, Saturday, and Sunday mornings 9 AM–1 PM CT.",131,Pick a time that works,1,,https://www.shreegauli.com/book,"index, follow",,Yes,utf-8,en,Yes,201,2%,ecf2d59068167b35ae3698d71f8d2300,28,1,29,0,0,12,2,"Person, WebSite, Organization, ProfessionalService, BreadcrumbList",None,Book a Free Strategy Call | 30-Minute Consultation,"Schedule a free 30-minute strategy call with Shree. Available Monday, Thursday, Friday, Saturday, and Sunday mornings 9 AM–1 PM CT.",https://www.shreegauli.com/og-image.jpg,summary_large_image,Book a Free Strategy Call | 30-Minute Consultation,https://www.shreegauli.com/og-image.jpg,261ms,56KB,br,"public, max-age=0, must-revalidate",max-age=63072000,5/7,No,
https://www.shreegauli.com/services/web-development,200,,,1,"Website & Web App Development | Next.js, React, TypeScript",58,"Custom Next.js websites and full-stack web applications built with React, TypeScript, Tailwind CSS, Prisma, and Supabase. SEO-optimized, performant, and production-ready.",170,Custom websites and web apps built to perform,1,Projects I've built with Next.js | Development process | What you get | Tech stack | Frequently asked questions | Related services | Ready to fix the bottleneck?,https://www.shreegauli.com/services/web-development,"index, follow",,Yes,utf-8,en,Yes,709,5%,db1a2a6e0582c3a70eb60dab70717e08,34,6,40,0,0,14,2,"Person, WebSite, Organization, ProfessionalService, BreadcrumbList, FAQPage, Service",None,"Website & Web App Development | Next.js, React, TypeScript","Custom Next.js websites and full-stack web applications built with React, TypeScript, Tailwind CSS, Prisma, and Supabase. SEO-optimized, performant, and production-ready.",https://www.shreegauli.com/og-image.jpg,summary_large_image,"Website & Web App Development | Next.js, React, TypeScript",https://www.shreegauli.com/og-image.jpg,242ms,101KB,br,"public, max-age=0, must-revalidate",max-age=63072000,5/7,No,
https://www.shreegauli.com/services/wordpress,200,,,1,"WordPress Development | Custom Themes, SEO & Performance",56,"Professional WordPress websites with custom themes, performance optimization, mobile-responsive design, and SEO built in. Healthcare, business, and service industry sites delivered fast.",186,"Professional WordPress sites — fast, clean, and built to rank",1,WordPress sites I've built | How it works | What you get | Frequently asked questions | Related services | Ready to fix the bottleneck?,https://www.shreegauli.com/services/wordpress,"index, follow",,Yes,utf-8,en,Yes,667,4%,4faa735060173f90e3b67d96ec9a9e64,34,5,39,0,0,14,2,"Person, WebSite, Organization, ProfessionalService, BreadcrumbList, FAQPage, Service",None,"WordPress Development | Custom Themes, SEO & Performance","Professional WordPress websites with custom themes, performance optimization, mobile-responsive design, and SEO built in. Healthcare, business, and service industry sites delivered fast.",https://www.shreegauli.com/og-image.jpg,summary_large_image,"WordPress Development | Custom Themes, SEO & Performance",https://www.shreegauli.com/og-image.jpg,336ms,95KB,br,"public, max-age=0, must-revalidate",max-age=63072000,5/7,No,
https://www.shreegauli.com/services/shopify,200,,,1,"Shopify Store Development | Custom Themes, Products & SEO",57,"Shopify e-commerce stores with custom themes, optimized product pages, conversion-focused checkout, and SEO built in. From setup to launch.",139,E-commerce stores that sell — not just display,1,Featured Shopify build | How it works | What you get | Frequently asked questions | Related services | Ready to fix the bottleneck?,https://www.shreegauli.com/services/shopify,"index, follow",,Yes,utf-8,en,Yes,621,4%,d1351a2537ecc720869410485c4fba85,34,2,36,0,0,14,2,"Person, WebSite, Organization, ProfessionalService, BreadcrumbList, FAQPage, Service",None,"Shopify Store Development | Custom Themes, Products & SEO","Shopify e-commerce stores with custom themes, optimized product pages, conversion-focused checkout, and SEO built in. From setup to launch.",https://www.shreegauli.com/og-image.jpg,summary_large_image,"Shopify Store Development | Custom Themes, Products & SEO",https://www.shreegauli.com/og-image.jpg,194ms,92KB,br,"public, max-age=0, must-revalidate",max-age=63072000,5/7,No,
